id,category,type,front,back,example,hint
c0284,Group Accounting & Consolidation,Collocation,eliminate intercompany revenue and expenses,konzerninterne Aufwendungen und Erträge eliminieren,We need to eliminate intercompany revenue and expenses as part of the group reporting process.,Typische berufliche Wortverbindung
a0285,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „konzerninterne Aufwendungen und Erträge eliminieren.“,eliminate intercompany revenue and expenses,We need to eliminate intercompany revenue and expenses as part of the group reporting process.,Aktive Anwendung
v0286,Group Accounting & Consolidation,Vocabulary,intercompany profit elimination,Zwischenergebniseliminierung,We need to eliminate intercompany profit as part of the group reporting process.,Fachbegriff
c0287,Group Accounting & Consolidation,Collocation,eliminate intercompany profit,Zwischenergebnisse eliminieren,We need to eliminate intercompany profit as part of the group reporting process.,Typische berufliche Wortverbindung
a0288,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „Zwischenergebnisse eliminieren.“,eliminate intercompany profit,We need to eliminate intercompany profit as part of the group reporting process.,Aktive Anwendung
v0289,Group Accounting & Consolidation,Vocabulary,dividend elimination,Dividendeneliminierung,We need to eliminate an intercompany dividend as part of the group reporting process.,Fachbegriff
c0290,Group Accounting & Consolidation,Collocation,eliminate an intercompany dividend,eine konzerninterne Dividende eliminieren,We need to eliminate an intercompany dividend as part of the group reporting process.,Typische berufliche Wortverbindung
a0291,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine konzerninterne Dividende eliminieren.“,eliminate an intercompany dividend,We need to eliminate an intercompany dividend as part of the group reporting process.,Aktive Anwendung
v0292,Group Accounting & Consolidation,Vocabulary,currency translation,Währungsumrechnung,We need to perform currency translation as part of the group reporting process.,Fachbegriff
c0293,Group Accounting & Consolidation,Collocation,perform currency translation,die Währungsumrechnung durchführen,We need to perform currency translation as part of the group reporting process.,Typische berufliche Wortverbindung
a0294,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die Währungsumrechnung durchführen.“,perform currency translation,We need to perform currency translation as part of the group reporting process.,Aktive Anwendung
v0295,Group Accounting & Consolidation,Vocabulary,translation difference,Währungsumrechnungsdifferenz,We need to analyse the translation difference as part of the group reporting process.,Fachbegriff
c0296,Group Accounting & Consolidation,Collocation,analyse the translation difference,die Währungsumrechnungsdifferenz analysieren,We need to analyse the translation difference as part of the group reporting process.,Typische berufliche Wortverbindung
a0297,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die Währungsumrechnungsdifferenz analysieren.“,analyse the translation difference,We need to analyse the translation difference as part of the group reporting process.,Aktive Anwendung
v0298,Group Accounting & Consolidation,Vocabulary,functional currency,funktionale Währung,We need to determine the functional currency as part of the group reporting process.,Fachbegriff
c0299,Group Accounting & Consolidation,Collocation,determine the functional currency,die funktionale Währung bestimmen,We need to determine the functional currency as part of the group reporting process.,Typische berufliche Wortverbindung
a0300,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die funktionale Währung bestimmen.“,determine the functional currency,We need to determine the functional currency as part of the group reporting process.,Aktive Anwendung
v0301,Group Accounting & Consolidation,Vocabulary,foreign operation,ausländischer Geschäftsbetrieb,We need to translate a foreign operation as part of the group reporting process.,Fachbegriff
c0302,Group Accounting & Consolidation,Collocation,translate a foreign operation,einen ausländischen Geschäftsbetrieb umrechnen,We need to translate a foreign operation as part of the group reporting process.,Typische berufliche Wortverbindung
a0303,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „einen ausländischen Geschäftsbetrieb umrechnen.“,translate a foreign operation,We need to translate a foreign operation as part of the group reporting process.,Aktive Anwendung
v0304,Group Accounting & Consolidation,Vocabulary,group chart of accounts,Konzernkontenplan,We need to map to the group chart of accounts as part of the group reporting process.,Fachbegriff
c0305,Group Accounting & Consolidation,Collocation,map to the group chart of accounts,auf den Konzernkontenplan mappen,We need to map to the group chart of accounts as part of the group reporting process.,Typische berufliche Wortverbindung
a0306,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „auf den Konzernkontenplan mappen.“,map to the group chart of accounts,We need to map to the group chart of accounts as part of the group reporting process.,Aktive Anwendung
v0307,Group Accounting & Consolidation,Vocabulary,account mapping,Kontenzuordnung,We need to validate the account mapping as part of the group reporting process.,Fachbegriff
c0308,Group Accounting & Consolidation,Collocation,validate the account mapping,die Kontenzuordnung validieren,We need to validate the account mapping as part of the group reporting process.,Typische berufliche Wortverbindung
a0309,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die Kontenzuordnung validieren.“,validate the account mapping,We need to validate the account mapping as part of the group reporting process.,Aktive Anwendung
v0310,Group Accounting & Consolidation,Vocabulary,consolidation system,Konsolidierungssystem,We need to load data into the consolidation system as part of the group reporting process.,Fachbegriff
c0311,Group Accounting & Consolidation,Collocation,load data into the consolidation system,Daten in das Konsolidierungssystem laden,We need to load data into the consolidation system as part of the group reporting process.,Typische berufliche Wortverbindung
a0312,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „Daten in das Konsolidierungssystem laden.“,load data into the consolidation system,We need to load data into the consolidation system as part of the group reporting process.,Aktive Anwendung
v0313,Group Accounting & Consolidation,Vocabulary,consolidation adjustment,Konsolidierungsanpassung,We need to post a consolidation adjustment as part of the group reporting process.,Fachbegriff
c0314,Group Accounting & Consolidation,Collocation,post a consolidation adjustment,eine Konsolidierungsanpassung buchen,We need to post a consolidation adjustment as part of the group reporting process.,Typische berufliche Wortverbindung
a0315,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Konsolidierungsanpassung buchen.“,post a consolidation adjustment,We need to post a consolidation adjustment as part of the group reporting process.,Aktive Anwendung
v0316,Group Accounting & Consolidation,Vocabulary,group accounting manual,Konzernbilanzierungshandbuch,We need to consult the group accounting manual as part of the group reporting process.,Fachbegriff
c0317,Group Accounting & Consolidation,Collocation,consult the group accounting manual,das Konzernbilanzierungshandbuch heranziehen,We need to consult the group accounting manual as part of the group reporting process.,Typische berufliche Wortverbindung
a0318,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „das Konzernbilanzierungshandbuch heranziehen.“,consult the group accounting manual,We need to consult the group accounting manual as part of the group reporting process.,Aktive Anwendung
v0319,Group Accounting & Consolidation,Vocabulary,ownership percentage,Beteiligungsquote,We need to confirm the ownership percentage as part of the group reporting process.,Fachbegriff
c0320,Group Accounting & Consolidation,Collocation,confirm the ownership percentage,die Beteiligungsquote bestätigen,We need to confirm the ownership percentage as part of the group reporting process.,Typische berufliche Wortverbindung
a0321,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die Beteiligungsquote bestätigen.“,confirm the ownership percentage,We need to confirm the ownership percentage as part of the group reporting process.,Aktive Anwendung
v0322,Group Accounting & Consolidation,Vocabulary,change in ownership,Änderung der Beteiligungsquote,We need to account for a change in ownership as part of the group reporting process.,Fachbegriff
c0323,Group Accounting & Consolidation,Collocation,account for a change in ownership,eine Änderung der Beteiligungsquote bilanzieren,We need to account for a change in ownership as part of the group reporting process.,Typische berufliche Wortverbindung
a0324,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Änderung der Beteiligungsquote bilanzieren.“,account for a change in ownership,We need to account for a change in ownership as part of the group reporting process.,Aktive Anwendung
v0325,Group Accounting & Consolidation,Vocabulary,business combination,Unternehmenszusammenschluss,We need to account for a business combination as part of the group reporting process.,Fachbegriff
c0326,Group Accounting & Consolidation,Collocation,account for a business combination,einen Unternehmenszusammenschluss bilanzieren,We need to account for a business combination as part of the group reporting process.,Typische berufliche Wortverbindung
a0327,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „einen Unternehmenszusammenschluss bilanzieren.“,account for a business combination,We need to account for a business combination as part of the group reporting process.,Aktive Anwendung
v0328,Group Accounting & Consolidation,Vocabulary,disposal of a subsidiary,Veräußerung einer Tochtergesellschaft,We need to account for the disposal of a subsidiary as part of the group reporting process.,Fachbegriff
c0329,Group Accounting & Consolidation,Collocation,account for the disposal of a subsidiary,die Veräußerung einer Tochtergesellschaft bilanzieren,We need to account for the disposal of a subsidiary as part of the group reporting process.,Typische berufliche Wortverbindung
a0330,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die Veräußerung einer Tochtergesellschaft bilanzieren.“,account for the disposal of a subsidiary,We need to account for the disposal of a subsidiary as part of the group reporting process.,Aktive Anwendung
v0331,Group Accounting & Consolidation,Vocabulary,dividend distribution,Dividendenausschüttung,We need to process a dividend distribution as part of the group reporting process.,Fachbegriff
c0332,Group Accounting & Consolidation,Collocation,process a dividend distribution,eine Dividendenausschüttung abwickeln,We need to process a dividend distribution as part of the group reporting process.,Typische berufliche Wortverbindung
a0333,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Dividendenausschüttung abwickeln.“,process a dividend distribution,We need to process a dividend distribution as part of the group reporting process.,Aktive Anwendung
v0334,Group Accounting & Consolidation,Vocabulary,distributable reserves,ausschüttungsfähige Rücklagen,We need to verify distributable reserves as part of the group reporting process.,Fachbegriff
c0335,Group Accounting & Consolidation,Collocation,verify distributable reserves,die ausschüttungsfähigen Rücklagen prüfen,We need to verify distributable reserves as part of the group reporting process.,Typische berufliche Wortverbindung
a0336,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die ausschüttungsfähigen Rücklagen prüfen.“,verify distributable reserves,We need to verify distributable reserves as part of the group reporting process.,Aktive Anwendung
v0337,Group Accounting & Consolidation,Vocabulary,shareholder resolution,Gesellschafterbeschluss,We need to obtain the shareholder resolution as part of the group reporting process.,Fachbegriff
c0338,Group Accounting & Consolidation,Collocation,obtain the shareholder resolution,den Gesellschafterbeschluss einholen,We need to obtain the shareholder resolution as part of the group reporting process.,Typische berufliche Wortverbindung
a0339,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „den Gesellschafterbeschluss einholen.“,obtain the shareholder resolution,We need to obtain the shareholder resolution as part of the group reporting process.,Aktive Anwendung
v0340,Group Accounting & Consolidation,Vocabulary,dividend receivable,Dividendenforderung,We need to recognise a dividend receivable as part of the group reporting process.,Fachbegriff
c0341,Group Accounting & Consolidation,Collocation,recognise a dividend receivable,eine Dividendenforderung erfassen,We need to recognise a dividend receivable as part of the group reporting process.,Typische berufliche Wortverbindung
a0342,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Dividendenforderung erfassen.“,recognise a dividend receivable,We need to recognise a dividend receivable as part of the group reporting process.,Aktive Anwendung
v0343,Group Accounting & Consolidation,Vocabulary,dividend payable,Dividendenverbindlichkeit,We need to recognise a dividend payable as part of the group reporting process.,Fachbegriff
c0344,Group Accounting & Consolidation,Collocation,recognise a dividend payable,eine Dividendenverbindlichkeit erfassen,We need to recognise a dividend payable as part of the group reporting process.,Typische berufliche Wortverbindung
a0345,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Dividendenverbindlichkeit erfassen.“,recognise a dividend payable,We need to recognise a dividend payable as part of the group reporting process.,Aktive Anwendung
v0346,Group Accounting & Consolidation,Vocabulary,capital increase,Kapitalerhöhung,We need to process a capital increase as part of the group reporting process.,Fachbegriff
c0347,Group Accounting & Consolidation,Collocation,process a capital increase,eine Kapitalerhöhung abwickeln,We need to process a capital increase as part of the group reporting process.,Typische berufliche Wortverbindung
a0348,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Kapitalerhöhung abwickeln.“,process a capital increase,We need to process a capital increase as part of the group reporting process.,Aktive Anwendung
v0349,Group Accounting & Consolidation,Vocabulary,capital decrease,Kapitalherabsetzung,We need to process a capital decrease as part of the group reporting process.,Fachbegriff
c0350,Group Accounting & Consolidation,Collocation,process a capital decrease,eine Kapitalherabsetzung abwickeln,We need to process a capital decrease as part of the group reporting process.,Typische berufliche Wortverbindung
a0351,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Kapitalherabsetzung abwickeln.“,process a capital decrease,We need to process a capital decrease as part of the group reporting process.,Aktive Anwendung
v0352,Group Accounting & Consolidation,Vocabulary,capital contribution,Kapitaleinlage,We need to record a capital contribution as part of the group reporting process.,Fachbegriff
c0353,Group Accounting & Consolidation,Collocation,record a capital contribution,eine Kapitaleinlage erfassen,We need to record a capital contribution as part of the group reporting process.,Typische berufliche Wortverbindung
a0354,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Kapitaleinlage erfassen.“,record a capital contribution,We need to record a capital contribution as part of the group reporting process.,Aktive Anwendung
v0355,Group Accounting & Consolidation,Vocabulary,repayment of capital,Kapitalrückzahlung,We need to record a repayment of capital as part of the group reporting process.,Fachbegriff
c0356,Group Accounting & Consolidation,Collocation,record a repayment of capital,eine Kapitalrückzahlung erfassen,We need to record a repayment of capital as part of the group reporting process.,Typische berufliche Wortverbindung
a0357,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „eine Kapitalrückzahlung erfassen.“,record a repayment of capital,We need to record a repayment of capital as part of the group reporting process.,Aktive Anwendung
v0358,Group Accounting & Consolidation,Vocabulary,legal entity structure,rechtliche Gesellschaftsstruktur,We need to review the legal entity structure as part of the group reporting process.,Fachbegriff
c0359,Group Accounting & Consolidation,Collocation,review the legal entity structure,die rechtliche Gesellschaftsstruktur prüfen,We need to review the legal entity structure as part of the group reporting process.,Typische berufliche Wortverbindung
a0360,Group Accounting & Consolidation,Active Recall,Formuliere professionell auf Englisch: „die rechtliche Gesellschaftsstruktur prüfen.“,review the legal entity structure,We need to review the legal entity structure as part of the group reporting process.,Aktive Anwendung
v0361,"IFRS, Assets & Leases",Vocabulary,"property, plant and equipment",Sachanlagen,"We need to account for property, plant and equipment in accordance with the applicable accounting policy.",Fachbegriff
c0362,"IFRS, Assets & Leases",Collocation,"account for property, plant and equipment",Sachanlagen bilanzieren,"We need to account for property, plant and equipment in accordance with the applicable accounting policy.",Typische berufliche Wortverbindung
a0363,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „Sachanlagen bilanzieren.“,"account for property, plant and equipment","We need to account for property, plant and equipment in accordance with the applicable accounting policy.",Aktive Anwendung
v0364,"IFRS, Assets & Leases",Vocabulary,intangible asset,immaterieller Vermögenswert,We need to recognise an intangible asset in accordance with the applicable accounting policy.,Fachbegriff
c0365,"IFRS, Assets & Leases",Collocation,recognise an intangible asset,einen immateriellen Vermögenswert ansetzen,We need to recognise an intangible asset in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0366,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „einen immateriellen Vermögenswert ansetzen.“,recognise an intangible asset,We need to recognise an intangible asset in accordance with the applicable accounting policy.,Aktive Anwendung
v0367,"IFRS, Assets & Leases",Vocabulary,capital expenditure,Investitionsausgabe,We need to classify capital expenditure in accordance with the applicable accounting policy.,Fachbegriff
c0368,"IFRS, Assets & Leases",Collocation,classify capital expenditure,Investitionsausgaben klassifizieren,We need to classify capital expenditure in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0369,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „Investitionsausgaben klassifizieren.“,classify capital expenditure,We need to classify capital expenditure in accordance with the applicable accounting policy.,Aktive Anwendung
v0370,"IFRS, Assets & Leases",Vocabulary,operating expenditure,laufender Betriebsaufwand,We need to classify operating expenditure in accordance with the applicable accounting policy.,Fachbegriff
c0371,"IFRS, Assets & Leases",Collocation,classify operating expenditure,laufenden Betriebsaufwand klassifizieren,We need to classify operating expenditure in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0372,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „laufenden Betriebsaufwand klassifizieren.“,classify operating expenditure,We need to classify operating expenditure in accordance with the applicable accounting policy.,Aktive Anwendung
v0373,"IFRS, Assets & Leases",Vocabulary,capitalisation,Aktivierung,We need to assess whether costs can be capitalised in accordance with the applicable accounting policy.,Fachbegriff
c0374,"IFRS, Assets & Leases",Collocation,assess whether costs can be capitalised,"prüfen, ob Kosten aktiviert werden können",We need to assess whether costs can be capitalised in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0375,"IFRS, Assets & Leases",Active Recall,"Formuliere professionell auf Englisch: „prüfen, ob Kosten aktiviert werden können.“",assess whether costs can be capitalised,We need to assess whether costs can be capitalised in accordance with the applicable accounting policy.,Aktive Anwendung
v0376,"IFRS, Assets & Leases",Vocabulary,useful life,Nutzungsdauer,We need to determine the useful life in accordance with the applicable accounting policy.,Fachbegriff
c0377,"IFRS, Assets & Leases",Collocation,determine the useful life,die Nutzungsdauer bestimmen,We need to determine the useful life in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0378,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „die Nutzungsdauer bestimmen.“,determine the useful life,We need to determine the useful life in accordance with the applicable accounting policy.,Aktive Anwendung
v0379,"IFRS, Assets & Leases",Vocabulary,residual value,Restwert,We need to review the residual value in accordance with the applicable accounting policy.,Fachbegriff
c0380,"IFRS, Assets & Leases",Collocation,review the residual value,den Restwert überprüfen,We need to review the residual value in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0381,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den Restwert überprüfen.“,review the residual value,We need to review the residual value in accordance with the applicable accounting policy.,Aktive Anwendung
v0382,"IFRS, Assets & Leases",Vocabulary,depreciation method,Abschreibungsmethode,We need to select the depreciation method in accordance with the applicable accounting policy.,Fachbegriff
c0383,"IFRS, Assets & Leases",Collocation,select the depreciation method,die Abschreibungsmethode auswählen,We need to select the depreciation method in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0384,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „die Abschreibungsmethode auswählen.“,select the depreciation method,We need to select the depreciation method in accordance with the applicable accounting policy.,Aktive Anwendung
v0385,"IFRS, Assets & Leases",Vocabulary,component approach,Komponentenansatz,We need to apply the component approach in accordance with the applicable accounting policy.,Fachbegriff
c0386,"IFRS, Assets & Leases",Collocation,apply the component approach,den Komponentenansatz anwenden,We need to apply the component approach in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0387,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den Komponentenansatz anwenden.“,apply the component approach,We need to apply the component approach in accordance with the applicable accounting policy.,Aktive Anwendung
v0388,"IFRS, Assets & Leases",Vocabulary,asset under construction,Anlage im Bau,We need to capitalise an asset under construction in accordance with the applicable accounting policy.,Fachbegriff
c0389,"IFRS, Assets & Leases",Collocation,capitalise an asset under construction,eine Anlage im Bau aktivieren,We need to capitalise an asset under construction in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0390,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „eine Anlage im Bau aktivieren.“,capitalise an asset under construction,We need to capitalise an asset under construction in accordance with the applicable accounting policy.,Aktive Anwendung
v0391,"IFRS, Assets & Leases",Vocabulary,asset register,Anlagenverzeichnis,We need to reconcile the asset register in accordance with the applicable accounting policy.,Fachbegriff
c0392,"IFRS, Assets & Leases",Collocation,reconcile the asset register,das Anlagenverzeichnis abstimmen,We need to reconcile the asset register in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0393,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „das Anlagenverzeichnis abstimmen.“,reconcile the asset register,We need to reconcile the asset register in accordance with the applicable accounting policy.,Aktive Anwendung
v0394,"IFRS, Assets & Leases",Vocabulary,asset transfer,Anlagenumbuchung,We need to process an asset transfer in accordance with the applicable accounting policy.,Fachbegriff
c0395,"IFRS, Assets & Leases",Collocation,process an asset transfer,eine Anlagenumbuchung durchführen,We need to process an asset transfer in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0396,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „eine Anlagenumbuchung durchführen.“,process an asset transfer,We need to process an asset transfer in accordance with the applicable accounting policy.,Aktive Anwendung
v0397,"IFRS, Assets & Leases",Vocabulary,asset disposal,Anlagenabgang,We need to record an asset disposal in accordance with the applicable accounting policy.,Fachbegriff
c0398,"IFRS, Assets & Leases",Collocation,record an asset disposal,einen Anlagenabgang erfassen,We need to record an asset disposal in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0399,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „einen Anlagenabgang erfassen.“,record an asset disposal,We need to record an asset disposal in accordance with the applicable accounting policy.,Aktive Anwendung
v0400,"IFRS, Assets & Leases",Vocabulary,gain on disposal,Gewinn aus Anlagenabgang,We need to calculate the gain on disposal in accordance with the applicable accounting policy.,Fachbegriff
c0401,"IFRS, Assets & Leases",Collocation,calculate the gain on disposal,den Gewinn aus Anlagenabgang berechnen,We need to calculate the gain on disposal in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0402,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den Gewinn aus Anlagenabgang berechnen.“,calculate the gain on disposal,We need to calculate the gain on disposal in accordance with the applicable accounting policy.,Aktive Anwendung
v0403,"IFRS, Assets & Leases",Vocabulary,loss on disposal,Verlust aus Anlagenabgang,We need to calculate the loss on disposal in accordance with the applicable accounting policy.,Fachbegriff
c0404,"IFRS, Assets & Leases",Collocation,calculate the loss on disposal,den Verlust aus Anlagenabgang berechnen,We need to calculate the loss on disposal in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0405,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den Verlust aus Anlagenabgang berechnen.“,calculate the loss on disposal,We need to calculate the loss on disposal in accordance with the applicable accounting policy.,Aktive Anwendung
v0406,"IFRS, Assets & Leases",Vocabulary,impairment indicator,Wertminderungsindikator,We need to identify an impairment indicator in accordance with the applicable accounting policy.,Fachbegriff
c0407,"IFRS, Assets & Leases",Collocation,identify an impairment indicator,einen Wertminderungsindikator identifizieren,We need to identify an impairment indicator in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0408,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „einen Wertminderungsindikator identifizieren.“,identify an impairment indicator,We need to identify an impairment indicator in accordance with the applicable accounting policy.,Aktive Anwendung
v0409,"IFRS, Assets & Leases",Vocabulary,recoverable amount,erzielbarer Betrag,We need to determine the recoverable amount in accordance with the applicable accounting policy.,Fachbegriff
c0410,"IFRS, Assets & Leases",Collocation,determine the recoverable amount,den erzielbaren Betrag bestimmen,We need to determine the recoverable amount in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0411,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den erzielbaren Betrag bestimmen.“,determine the recoverable amount,We need to determine the recoverable amount in accordance with the applicable accounting policy.,Aktive Anwendung
v0412,"IFRS, Assets & Leases",Vocabulary,value in use,Nutzungswert,We need to calculate value in use in accordance with the applicable accounting policy.,Fachbegriff
c0413,"IFRS, Assets & Leases",Collocation,calculate value in use,den Nutzungswert berechnen,We need to calculate value in use in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0414,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „den Nutzungswert berechnen.“,calculate value in use,We need to calculate value in use in accordance with the applicable accounting policy.,Aktive Anwendung
v0415,"IFRS, Assets & Leases",Vocabulary,cash-generating unit,zahlungsmittelgenerierende Einheit,We need to define the cash-generating unit in accordance with the applicable accounting policy.,Fachbegriff
c0416,"IFRS, Assets & Leases",Collocation,define the cash-generating unit,die zahlungsmittelgenerierende Einheit bestimmen,We need to define the cash-generating unit in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0417,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „die zahlungsmittelgenerierende Einheit bestimmen.“,define the cash-generating unit,We need to define the cash-generating unit in accordance with the applicable accounting policy.,Aktive Anwendung
v0418,"IFRS, Assets & Leases",Vocabulary,research costs,Forschungskosten,We need to expense research costs in accordance with the applicable accounting policy.,Fachbegriff
c0419,"IFRS, Assets & Leases",Collocation,expense research costs,Forschungskosten als Aufwand erfassen,We need to expense research costs in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0420,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „Forschungskosten als Aufwand erfassen.“,expense research costs,We need to expense research costs in accordance with the applicable accounting policy.,Aktive Anwendung
v0421,"IFRS, Assets & Leases",Vocabulary,development costs,Entwicklungskosten,We need to assess development costs for capitalisation in accordance with the applicable accounting policy.,Fachbegriff
c0422,"IFRS, Assets & Leases",Collocation,assess development costs for capitalisation,Entwicklungskosten auf Aktivierbarkeit prüfen,We need to assess development costs for capitalisation in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0423,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „Entwicklungskosten auf Aktivierbarkeit prüfen.“,assess development costs for capitalisation,We need to assess development costs for capitalisation in accordance with the applicable accounting policy.,Aktive Anwendung
v0424,"IFRS, Assets & Leases",Vocabulary,lease,Leasingverhältnis,We need to identify a lease in accordance with the applicable accounting policy.,Fachbegriff
c0425,"IFRS, Assets & Leases",Collocation,identify a lease,ein Leasingverhältnis identifizieren,We need to identify a lease in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0426,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „ein Leasingverhältnis identifizieren.“,identify a lease,We need to identify a lease in accordance with the applicable accounting policy.,Aktive Anwendung
v0427,"IFRS, Assets & Leases",Vocabulary,right-of-use asset,Nutzungsrecht,We need to recognise a right-of-use asset in accordance with the applicable accounting policy.,Fachbegriff
c0428,"IFRS, Assets & Leases",Collocation,recognise a right-of-use asset,ein Nutzungsrecht ansetzen,We need to recognise a right-of-use asset in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0429,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „ein Nutzungsrecht ansetzen.“,recognise a right-of-use asset,We need to recognise a right-of-use asset in accordance with the applicable accounting policy.,Aktive Anwendung
v0430,"IFRS, Assets & Leases",Vocabulary,lease liability,Leasingverbindlichkeit,We need to recognise a lease liability in accordance with the applicable accounting policy.,Fachbegriff
c0431,"IFRS, Assets & Leases",Collocation,recognise a lease liability,eine Leasingverbindlichkeit ansetzen,We need to recognise a lease liability in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0432,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „eine Leasingverbindlichkeit ansetzen.“,recognise a lease liability,We need to recognise a lease liability in accordance with the applicable accounting policy.,Aktive Anwendung
v0433,"IFRS, Assets & Leases",Vocabulary,lease term,Leasinglaufzeit,We need to determine the lease term in accordance with the applicable accounting policy.,Fachbegriff
c0434,"IFRS, Assets & Leases",Collocation,determine the lease term,die Leasinglaufzeit bestimmen,We need to determine the lease term in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0435,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „die Leasinglaufzeit bestimmen.“,determine the lease term,We need to determine the lease term in accordance with the applicable accounting policy.,Aktive Anwendung
v0436,"IFRS, Assets & Leases",Vocabulary,lease payment,Leasingzahlung,We need to calculate the lease payments in accordance with the applicable accounting policy.,Fachbegriff
c0437,"IFRS, Assets & Leases",Collocation,calculate the lease payments,die Leasingzahlungen berechnen,We need to calculate the lease payments in accordance with the applicable accounting policy.,Typische berufliche Wortverbindung
a0438,"IFRS, Assets & Leases",Active Recall,Formuliere professionell auf Englisch: „die Leasingzahlungen berechnen.“,calculate the lease payments,We need to calculate the lease payments in accordance with the applicable accounting policy.,Aktive Anwendung
